ts,item_no,item,op,target,expected,actual,pass
08:53:46,88,Glow Lab Coconut & Sandalwood Body Wash 900mL,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:53:46,88,Glow Lab Coconut & Sandalwood Body Wash 900mL,update_single_price:woolworths,row88,wrote 24.32,wrote=True err=,PASS
08:54:30,89,White Glo Professional Whitening Toothpaste 115g,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:54:31,89,White Glo Professional Whitening Toothpaste 115g,update_single_price:coles,row89,wrote 38.47,wrote=True err=,PASS
08:54:31,90,RAW SUGAR 2KG,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:54:31,90,RAW SUGAR 2KG,update_single_price:woolworths,row90,wrote 24.31,wrote=True err=,PASS
08:54:46,91,Woolworths Little Gem Lettuce Green 2 pack,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:54:47,91,Woolworths Little Gem Lettuce Green 2 pack,update_single_price:coles,row91,wrote 13.09,wrote=True err=,PASS
08:54:47,92,Full+ On The Go Meal Replacement Chocolate 480mL,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:54:48,92,Full+ On The Go Meal Replacement Chocolate 480mL,update_single_price:woolworths,row92,wrote 28.04,wrote=True err=,PASS
08:54:49,93,DAIRY FARMERS THICK & CREAMY MANGO & PASSIONFRUIT YOGHURT,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:54:50,93,DAIRY FARMERS THICK & CREAMY MANGO & PASSIONFRUIT YOGHURT,update_single_price:coles,row93,wrote 5.6,wrote=True err=,PASS
08:54:50,94,Green's Original Pancake Shake 375g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:54:51,94,Green's Original Pancake Shake 375g,update_single_price:woolworths,row94,wrote 38.8,wrote=True err=,PASS
08:54:52,95,Thanks To Nature Shaving Cream Cherry Blossom & White Tea 15,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:54:52,95,Thanks To Nature Shaving Cream Cherry Blossom & White Tea 15,update_single_price:coles,row95,wrote 10.43,wrote=True err=,PASS
08:54:53,96,Woolworths Tasty Shredded Cheese 500g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:54:54,96,Woolworths Tasty Shredded Cheese 500g,update_single_price:woolworths,row96,wrote 34.33,wrote=True err=,PASS
08:54:55,97,Woolworths Mozzarella Shredded Cheese 500g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:54:55,97,Woolworths Mozzarella Shredded Cheese 500g,update_single_price:coles,row97,wrote 36.8,wrote=True err=,PASS
08:54:56,98,Woolworths Light Tasty Shredded Cheese 500g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:54:57,98,Woolworths Light Tasty Shredded Cheese 500g,update_single_price:woolworths,row98,wrote 17.14,wrote=True err=,PASS
08:54:57,99,LIDDELLS LACTOSE FREE SHREDDED CHEESE 250G,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:54:58,99,LIDDELLS LACTOSE FREE SHREDDED CHEESE 250G,update_single_price:coles,row99,wrote 7.86,wrote=True err=,PASS
08:54:58,100,Bio Cheese Dairy Free Cheddar Slices 200g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:54:59,100,Bio Cheese Dairy Free Cheddar Slices 200g,update_single_price:woolworths,row100,wrote 40.49,wrote=True err=,PASS
08:54:59,101,Woolworths Microwave Basmati Rice 250g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:55:00,101,Woolworths Microwave Basmati Rice 250g,update_single_price:coles,row101,wrote 30.6,wrote=True err=,PASS
08:55:00,102,Woolworths Pasta Spirals 500g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:55:01,102,Woolworths Pasta Spirals 500g,update_single_price:woolworths,row102,wrote 26.68,wrote=True err=,PASS
08:55:01,103,Yucateco XXXTRA Hot Habanero Sauce 120mL,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:55:02,103,Yucateco XXXTRA Hot Habanero Sauce 120mL,update_single_price:coles,row103,wrote 2.23,wrote=True err=,PASS
08:55:02,104,Mount Franklin Lightly Sparkling Water Lime Bottle 1.25L,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:55:02,104,Mount Franklin Lightly Sparkling Water Lime Bottle 1.25L,update_single_price:woolworths,row104,wrote 13.5,wrote=True err=,PASS
08:55:03,105,Woolworths Coat & Cook Seasoning Mix Southern Fried Chicken ,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:55:04,105,Woolworths Coat & Cook Seasoning Mix Southern Fried Chicken ,update_single_price:coles,row105,wrote 18.58,wrote=True err=,PASS
08:55:04,106,DermaVeen Daily Nourish Moisturising Lotion 500mL,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:55:05,106,DermaVeen Daily Nourish Moisturising Lotion 500mL,update_single_price:woolworths,row106,wrote 6.49,wrote=True err=,PASS
08:55:06,107,DermaVeen Extra Hydration Intensive Moisturising Lotion 500m,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:55:06,107,DermaVeen Extra Hydration Intensive Moisturising Lotion 500m,update_single_price:coles,row107,wrote 14.66,wrote=True err=,PASS
08:55:07,108,DERMAVEEN EXTRA HYDRATION INTENSIVE MOISTURISING LOTION COLL,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:55:08,108,DERMAVEEN EXTRA HYDRATION INTENSIVE MOISTURISING LOTION COLL,update_single_price:woolworths,row108,wrote 3.61,wrote=True err=,PASS
08:55:08,109,Casa Serena 500ml Body Lotion/Moisturiser Hand/Skin Cream Bl,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:55:09,109,Casa Serena 500ml Body Lotion/Moisturiser Hand/Skin Cream Bl,update_single_price:coles,row109,wrote 30.72,wrote=True err=,PASS
08:55:10,110,CETAPHIL MOISTURISING LOTION 473ML,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:55:11,110,CETAPHIL MOISTURISING LOTION 473ML,update_single_price:woolworths,row110,wrote 26.65,wrote=True err=,PASS
08:55:11,111,AVEENO DAILY MOISTURISING BODY LOTION,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:55:12,111,AVEENO DAILY MOISTURISING BODY LOTION,update_single_price:coles,row111,wrote 9.4,wrote=True err=,PASS
08:55:13,112,Mozzarella Cheese Sticks 235g 10 Pack,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:55:13,112,Mozzarella Cheese Sticks 235g 10 Pack,update_single_price:woolworths,row112,wrote 17.33,wrote=True err=,PASS
08:55:13,113,Olive Oil Spread 500g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:55:14,113,Olive Oil Spread 500g,update_single_price:coles,row113,wrote 16.47,wrote=True err=,PASS
08:55:15,114,Lindt Hot Choc Flakes Tin 210g,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:55:15,114,Lindt Hot Choc Flakes Tin 210g,update_single_price:woolworths,row114,wrote 33.77,wrote=True err=,PASS
